Customer_Id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment
12473,53,3,2585.73,3,3,5,11,0,Regular Customers
12474,17,18,6694.09,4,5,5,14,3,High-Value Customers
12475,53,1,669.38,3,1,3,7,0,Regular Customers
12476,15,11,5898.42,4,5,5,14,0,Regular Customers
12477,22,6,13219.74,4,5,5,14,0,Regular Customers
12478,3,1,545.99,5,1,3,9,0,Regular Customers
12479,11,1,473.2,5,1,2,8,0,Regular Customers
12480,28,4,2885.63,4,4,5,13,0,Regular Customers
12481,22,10,5003.82,4,5,5,14,0,Regular Customers
12483,17,8,1910.98,4,5,4,13,0,Regular Customers
12484,35,4,3939.32,3,4,5,12,0,Regular Customers
12488,9,3,1244.66,5,3,4,12,0,Regular Customers
12489,336,1,298.93,1,1,2,4,1,At-Risk / Inactive
12490,5,10,4859.93,5,5,5,15,0,Regular Customers
12491,38,1,424.40000000000003,3,1,2,6,0,Regular Customers
12492,63,2,227.21,3,2,1,6,0,Regular Customers
12493,165,2,379.74,2,2,2,6,1,At-Risk / Inactive
12494,15,7,1084.1,4,5,4,13,0,Regular Customers
12497,81,1,953.1,2,1,4,7,0,Regular Customers
12498,21,3,349.70000000000005,4,3,2,9,0,Regular Customers
12500,23,11,4059.8199999999997,4,5,5,14,0,Regular Customers
12501,336,1,2025.39,1,1,4,6,1,At-Risk / Inactive
12502,95,5,2995.87,2,4,5,11,0,Regular Customers
12504,18,2,428.04999999999995,4,2,2,8,0,Regular Customers
12506,232,1,73.5,1,1,1,3,1,At-Risk / Inactive
12507,134,3,1052.81,2,3,4,9,0,Regular Customers
12508,26,2,397.88,4,2,2,8,0,Regular Customers
12509,284,1,158.5,1,1,1,3,1,At-Risk / Inactive
12510,142,2,814.5699999999999,2,2,3,7,0,Regular Customers
12512,66,2,132.18,3,2,1,6,0,Regular Customers
12513,112,1,558.29,2,1,3,6,0,Regular Customers
12514,267,1,1017.6800000000001,1,1,4,6,1,At-Risk / Inactive
12515,353,1,278.7,1,1,2,4,1,At-Risk / Inactive
12516,77,2,1186.06,2,2,4,8,0,Regular Customers
12517,28,4,2301.6,4,4,5,13,0,Regular Customers
12518,0,5,1840.89,5,4,4,13,0,Regular Customers
12519,63,1,276.84000000000003,3,1,2,6,0,Regular Customers
12520,79,5,2346.26,2,4,5,11,0,Regular Customers
12521,142,1,545.68,2,1,3,6,0,Regular Customers
12522,39,2,156.72,3,2,1,6,0,Regular Customers
12523,19,11,1699.77,4,5,4,13,0,Regular Customers
12524,9,8,3945.7200000000003,5,5,5,15,0,Regular Customers
12526,0,3,1172.66,5,3,4,12,0,Regular Customers
12527,81,3,330.71000000000004,2,3,2,7,0,Regular Customers
12528,9,6,1645.48,5,5,4,14,0,Regular Customers
12530,59,4,1500.28,3,4,4,11,0,Regular Customers
12531,14,1,125.22,5,1,1,7,0,Regular Customers
12532,30,1,313.83000000000004,4,1,2,7,0,Regular Customers
12534,130,1,981.18,2,1,4,7,0,Regular Customers
12535,91,2,716.35,2,2,3,7,0,Regular Customers
12536,59,1,4279.71,3,1,5,9,0,Regular Customers
12538,29,1,363.95,4,1,2,7,0,Regular Customers
12539,22,4,5568.35,4,4,5,13,0,Regular Customers
12540,19,17,11580.24,4,5,5,14,3,High-Value Customers
12541,29,3,841.18,4,3,3,10,0,Regular Customers
12544,36,1,316.7,3,1,2,6,0,Regular Customers
12545,75,2,832.39,2,2,3,7,0,Regular Customers
12546,46,2,1021.5,3,2,4,9,0,Regular Customers
12547,197,2,151.8,1,2,1,4,1,At-Risk / Inactive
12548,166,1,67.19999999999999,2,1,1,4,1,At-Risk / Inactive
12550,79,1,824.83,2,1,3,6,0,Regular Customers
12551,357,1,168.0,1,1,1,3,1,At-Risk / Inactive
12552,39,1,317.82,3,1,2,6,0,Regular Customers
12553,8,10,3278.28,5,5,5,15,0,Regular Customers
12556,50,2,599.56,3,2,3,8,0,Regular Customers
12557,16,5,11990.960000000001,4,4,5,13,0,Regular Customers
12558,7,1,269.96,5,1,2,8,0,Regular Customers
12559,310,2,525.71,1,2,3,6,1,At-Risk / Inactive
12560,5,2,1918.01,5,2,4,11,0,Regular Customers
12561,302,1,238.85,1,1,1,3,1,At-Risk / Inactive
12562,8,7,3385.7400000000002,5,5,5,15,0,Regular Customers
12564,261,1,402.90000000000003,1,1,2,4,1,At-Risk / Inactive
12565,288,1,145.92000000000002,1,1,1,3,1,At-Risk / Inactive
12566,86,1,297.65,2,1,2,5,0,Regular Customers
12567,22,10,8609.28,4,5,5,14,0,Regular Customers
12569,2,32,3152.69,5,5,5,15,3,High-Value Customers
12571,39,2,519.61,3,2,3,8,0,Regular Customers
12572,8,2,912.4200000000001,5,2,3,10,0,Regular Customers
12573,227,1,160.54000000000002,1,1,1,3,1,At-Risk / Inactive
12574,315,1,182.45000000000002,1,1,1,3,1,At-Risk / Inactive
12576,35,5,1315.83,3,4,4,11,0,Regular Customers
12577,35,3,622.65,3,3,3,9,0,Regular Customers
12578,21,2,2402.51,4,2,5,11,0,Regular Customers
12579,78,1,386.42,2,1,2,5,0,Regular Customers
12580,246,1,379.7,1,1,2,4,1,At-Risk / Inactive
12581,39,1,179.71,3,1,1,5,0,Regular Customers
12582,238,2,351.36,1,2,2,5,1,At-Risk / Inactive
12583,2,15,6705.38,5,5,5,15,3,High-Value Customers
12584,3,9,2254.15,5,5,5,15,0,Regular Customers
12585,234,2,1824.1,1,2,4,7,1,At-Risk / Inactive
12586,17,1,196.94000000000003,4,1,1,6,0,Regular Customers
12587,7,1,104.0,5,1,1,7,0,Regular Customers
12588,39,1,174.89999999999998,3,1,1,5,0,Regular Customers
12589,28,2,574.68,4,2,3,9,0,Regular Customers
12590,211,1,9341.26,1,1,5,7,1,At-Risk / Inactive
12591,317,1,368.85,1,1,2,4,1,At-Risk / Inactive
12592,92,2,401.6,2,2,2,6,0,Regular Customers
12593,108,3,382.1,2,3,2,7,0,Regular Customers
12594,37,9,3208.2200000000003,3,5,5,13,0,Regular Customers
12596,51,2,450.27,3,2,2,7,0,Regular Customers
12597,19,4,3195.22,4,4,5,13,0,Regular Customers
12598,9,7,2807.08,5,5,5,15,0,Regular Customers
12599,29,7,888.58,4,5,3,12,0,Regular Customers
12600,28,10,2311.04,4,5,5,14,0,Regular Customers
12601,189,5,487.06,1,4,3,8,1,At-Risk / Inactive
12602,58,1,153.12,3,1,1,5,0,Regular Customers
12603,21,1,613.1999999999999,4,1,3,8,0,Regular Customers
12604,79,2,236.18,2,2,1,5,0,Regular Customers
12607,60,1,1579.51,3,1,4,8,0,Regular Customers
12609,78,3,964.85,2,3,4,9,0,Regular Customers
12610,22,4,1747.54,4,4,4,12,0,Regular Customers
12611,52,1,1193.32,3,1,4,8,0,Regular Customers
12612,74,1,668.04,2,1,3,6,0,Regular Customers
12613,57,4,3092.38,3,4,5,12,0,Regular Customers
12614,277,1,315.6,1,1,2,4,1,At-Risk / Inactive
12615,2,4,2093.19,5,4,5,14,0,Regular Customers
12616,95,2,641.3,2,2,3,7,0,Regular Customers
12617,29,1,352.98,4,1,2,7,0,Regular Customers
12618,21,1,137.31,4,1,1,6,0,Regular Customers
12619,16,8,2945.56,4,5,5,14,0,Regular Customers
12620,14,3,1303.41,5,3,4,12,0,Regular Customers
12621,1,20,12411.67,5,5,5,15,3,High-Value Customers
12622,232,1,162.1,1,1,1,3,1,At-Risk / Inactive
12623,276,1,269.1,1,1,2,4,1,At-Risk / Inactive
12624,106,2,569.13,2,2,3,7,0,Regular Customers
12625,211,2,2413.82,1,2,5,8,1,At-Risk / Inactive
12626,23,9,5954.4800000000005,4,5,5,14,0,Regular Customers
12627,10,6,4082.53,5,5,5,15,0,Regular Customers
12628,4,3,732.46,5,3,3,11,0,Regular Customers
12630,9,2,1030.88,5,2,4,11,0,Regular Customers
12631,57,1,480.5,3,1,2,6,0,Regular Customers
12633,58,4,1929.98,3,4,4,11,0,Regular Customers
12635,89,2,1509.18,2,2,4,8,0,Regular Customers
12637,67,8,5804.9,3,5,5,13,0,Regular Customers
12638,33,1,511.69,3,1,3,7,0,Regular Customers
12639,238,1,366.1,1,1,2,4,1,At-Risk / Inactive
12640,23,3,994.58,4,3,4,11,0,Regular Customers
12641,115,1,145.9,2,1,1,4,0,Regular Customers
12642,25,3,905.26,4,3,3,10,0,Regular Customers
12643,128,6,3041.64,2,5,5,12,0,Regular Customers
12644,129,1,477.90999999999997,2,1,2,5,0,Regular Customers
12645,33,4,1631.18,3,4,4,11,0,Regular Customers
12646,4,2,1346.97,5,2,4,11,0,Regular Customers
12647,22,12,3146.82,4,5,5,14,0,Regular Customers
12648,154,1,300.05,2,1,2,5,1,At-Risk / Inactive
12649,107,3,569.51,2,3,3,8,0,Regular Customers
12650,3,1,242.44,5,1,1,7,0,Regular Customers
12651,334,1,114.0,1,1,1,3,1,At-Risk / Inactive
12652,331,1,793.98,1,1,3,5,1,At-Risk / Inactive
12653,148,2,2209.85,2,2,5,9,1,At-Risk / Inactive
12654,10,5,529.98,5,4,3,12,0,Regular Customers
12656,17,5,3619.17,4,4,5,13,0,Regular Customers
12657,11,4,1427.18,5,4,4,13,0,Regular Customers
12658,18,1,632.05,4,1,3,8,0,Regular Customers
12659,29,1,73.67999999999999,4,1,1,6,0,Regular Customers
12660,11,1,227.10000000000002,5,1,1,7,0,Regular Customers
12662,0,11,3543.78,5,5,5,15,0,Regular Customers
12664,8,9,4391.88,5,5,5,15,0,Regular Customers
12665,324,1,45.0,1,1,1,3,1,At-Risk / Inactive
12667,58,1,460.13,3,1,2,6,0,Regular Customers
12668,11,4,3177.15,5,4,5,14,0,Regular Customers
12669,150,2,1427.73,2,2,4,8,1,At-Risk / Inactive
12670,10,5,2744.05,5,4,5,14,0,Regular Customers
12672,329,1,225.9,1,1,1,3,1,At-Risk / Inactive
12673,5,2,574.52,5,2,3,10,0,Regular Customers
12674,38,4,1844.6,3,4,4,11,0,Regular Customers
12676,24,6,1091.39,4,5,4,13,0,Regular Customers
12678,42,9,16331.46,3,5,5,13,3,High-Value Customers
12679,58,4,951.02,3,4,4,11,0,Regular Customers
12680,0,4,790.81,5,4,3,12,0,Regular Customers
12681,14,22,12365.54,5,5,5,15,3,High-Value Customers
12682,3,31,11019.82,5,5,5,15,3,High-Value Customers
12683,4,14,7612.57,5,5,5,15,3,High-Value Customers
12684,7,6,2073.63,5,5,5,15,0,Regular Customers
12685,28,6,2575.08,4,5,5,14,0,Regular Customers
12686,371,1,71.14,1,1,1,3,1,At-Risk / Inactive
12688,113,1,4863.81,2,1,5,8,0,Regular Customers
12689,25,2,1139.6100000000001,4,2,4,10,0,Regular Customers
12690,205,1,335.01,1,1,2,4,1,At-Risk / Inactive
12691,28,5,927.8,4,4,4,12,0,Regular Customers
12693,127,4,711.91,2,4,3,9,0,Regular Customers
12694,70,2,761.67,3,2,3,8,0,Regular Customers
12695,7,4,582.1,5,4,3,12,0,Regular Customers
12697,28,3,757.59,4,3,3,10,0,Regular Customers
12700,7,4,4525.99,5,4,5,14,0,Regular Customers
12701,79,2,725.71,2,2,3,7,0,Regular Customers
12702,19,1,201.0,4,1,1,6,0,Regular Customers
12703,71,1,265.55,3,1,2,6,0,Regular Customers
12704,7,8,1740.84,5,5,4,14,0,Regular Customers
12705,15,8,6382.29,4,5,5,14,0,Regular Customers
12707,291,1,603.42,1,1,3,5,1,At-Risk / Inactive
12708,29,10,2442.91,4,5,5,14,0,Regular Customers
12709,15,15,9400.52,4,5,5,14,3,High-Value Customers
12710,96,3,1023.02,2,3,4,9,0,Regular Customers
12712,28,13,3928.13,4,5,5,14,0,Regular Customers
12713,0,1,794.55,5,1,3,9,0,Regular Customers
12714,9,5,4294.86,5,4,5,14,0,Regular Customers
12715,106,1,263.36,2,1,2,5,0,Regular Customers
12716,3,2,963.49,5,2,4,11,0,Regular Customers
12717,151,2,830.98,2,2,3,7,1,At-Risk / Inactive
12718,71,1,202.25,3,1,1,5,0,Regular Customers
12719,5,2,572.95,5,2,3,10,0,Regular Customers
12720,2,25,5115.73,5,5,5,15,3,High-Value Customers
12721,31,6,2386.13,4,5,5,14,0,Regular Customers
12722,85,4,979.63,2,4,4,10,0,Regular Customers
12723,3,5,707.07,5,4,3,12,0,Regular Customers
12724,5,4,923.41,5,4,4,13,0,Regular Customers
12725,371,1,371.8,1,1,2,4,1,At-Risk / Inactive
12726,28,7,2411.1,4,5,5,14,0,Regular Customers
12727,10,7,3440.7000000000003,5,5,5,15,0,Regular Customers
12728,71,4,728.33,3,4,3,10,0,Regular Customers
12729,113,1,417.01,2,1,2,5,0,Regular Customers
12731,23,12,18751.91,4,5,5,14,3,High-Value Customers
12732,179,1,218.26000000000002,2,1,1,4,1,At-Risk / Inactive
12733,234,1,383.95,1,1,2,4,1,At-Risk / Inactive
12734,352,1,110.39999999999999,1,1,1,3,1,At-Risk / Inactive
12735,315,2,689.5699999999999,1,2,3,6,1,At-Risk / Inactive
12736,332,1,144.0,1,1,1,3,1,At-Risk / Inactive
12738,372,1,137.35,1,1,1,3,1,At-Risk / Inactive
12739,99,1,975.54,2,1,4,7,0,Regular Customers
12740,63,1,427.6,3,1,2,6,0,Regular Customers
12743,134,2,540.13,2,2,3,7,0,Regular Customers
12744,56,4,9120.39,3,4,5,12,0,Regular Customers
12747,2,11,4196.01,5,5,5,15,0,Regular Customers
12748,0,206,31650.78,5,5,5,15,2,VIP Customers
12749,3,5,4040.88,5,4,5,14,0,Regular Customers
12750,128,1,275.88,2,1,2,5,0,Regular Customers
12752,81,1,4366.78,2,1,5,8,0,Regular Customers
12753,22,6,21429.39,4,5,5,14,0,Regular Customers
12754,235,3,3010.74,1,3,5,9,1,At-Risk / Inactive
12755,280,2,3811.9500000000003,1,2,5,8,1,At-Risk / Inactive
12756,86,1,112.08,2,1,1,4,0,Regular Customers
12757,15,9,4176.75,4,5,5,14,0,Regular Customers
12758,116,2,2791.59,2,2,5,9,0,Regular Customers
12759,52,3,1411.44,3,3,4,10,0,Regular Customers
12762,7,2,1702.52,5,2,4,11,0,Regular Customers
12763,138,2,494.08,2,2,3,7,0,Regular Customers
12764,316,1,1693.88,1,1,4,6,1,At-Risk / Inactive
12766,3,7,6457.63,5,5,5,15,0,Regular Customers
12769,238,1,1143.6,1,1,4,6,1,At-Risk / Inactive
12770,210,1,1351.45,1,1,4,6,1,At-Risk / Inactive
12772,59,1,752.47,3,1,3,7,0,Regular Customers
12775,17,5,1281.04,4,4,4,12,0,Regular Customers
12778,19,6,693.23,4,5,3,12,0,Regular Customers
12779,37,8,3981.36,3,5,5,13,0,Regular Customers
12781,63,2,786.74,3,2,3,8,0,Regular Customers
12782,4,5,1938.92,5,4,4,13,0,Regular Customers
12783,2,4,1295.8700000000001,5,4,4,13,0,Regular Customers
12784,15,1,476.82,4,1,2,7,0,Regular Customers
12785,364,1,255.95,1,1,2,4,1,At-Risk / Inactive
12787,9,3,418.66,5,3,2,10,0,Regular Customers
12789,65,1,76.85,3,1,1,5,0,Regular Customers
12790,192,1,294.92,1,1,2,4,1,At-Risk / Inactive
12791,373,1,177.60000000000002,1,1,1,3,1,At-Risk / Inactive
12792,256,1,344.54,1,1,2,4,1,At-Risk / Inactive
12793,334,2,461.48,1,2,2,5,1,At-Risk / Inactive
12794,53,2,860.41,3,2,3,8,0,Regular Customers
12795,18,1,318.48,4,1,2,7,0,Regular Customers
12797,365,1,226.03,1,1,1,3,1,At-Risk / Inactive
12798,10,3,6977.04,5,3,5,13,0,Regular Customers
12802,186,1,397.58,1,1,2,4,1,At-Risk / Inactive
12808,36,3,455.65000000000003,3,3,2,8,0,Regular Customers
12809,177,1,405.31,2,1,2,5,1,At-Risk / Inactive
12811,261,2,458.85,1,2,2,5,1,At-Risk / Inactive
12812,44,1,229.64000000000001,3,1,1,5,0,Regular Customers
12814,101,1,85.92,2,1,1,4,0,Regular Customers
12815,147,2,863.46,2,2,3,7,1,At-Risk / Inactive
12816,95,2,452.2,2,2,2,6,0,Regular Customers
12817,281,1,126.04,1,1,1,3,1,At-Risk / Inactive
12818,261,1,1182.0800000000002,1,1,4,6,1,At-Risk / Inactive
12820,3,4,942.34,5,4,4,13,0,Regular Customers
12821,214,1,92.72,1,1,1,3,1,At-Risk / Inactive
12822,70,2,948.88,3,2,4,9,0,Regular Customers
12823,74,5,1759.5,2,4,4,10,0,Regular Customers
12824,59,1,397.12,3,1,2,6,0,Regular Customers
12826,2,7,1474.72,5,5,4,14,0,Regular Customers
12827,5,3,430.15,5,3,2,10,0,Regular Customers
12828,2,6,1018.71,5,5,4,14,0,Regular Customers
12829,336,2,293.0,1,2,2,5,1,At-Risk / Inactive
12830,37,6,6814.64,3,5,5,13,0,Regular Customers
12831,262,1,215.05,1,1,1,3,1,At-Risk / Inactive
12832,32,2,383.03000000000003,4,2,2,8,0,Regular Customers
12833,145,1,417.38,2,1,2,5,1,At-Risk / Inactive
12834,282,1,312.38,1,1,2,4,1,At-Risk / Inactive
12836,59,4,2610.36,3,4,5,12,0,Regular Customers
12837,173,1,134.1,2,1,1,4,1,At-Risk / Inactive
12838,33,2,671.95,3,2,3,8,0,Regular Customers
12839,2,14,5591.42,5,5,5,15,3,High-Value Customers
12840,143,4,2726.77,2,4,5,11,0,Regular Customers
12841,4,25,3991.58,5,5,5,15,3,High-Value Customers
12842,70,2,1118.99,3,2,4,9,0,Regular Customers
12843,65,8,1702.26,3,5,4,12,0,Regular Customers
12844,29,2,325.96000000000004,4,2,2,8,0,Regular Customers
12845,267,4,354.09000000000003,1,4,2,7,1,At-Risk / Inactive
12847,22,1,843.64,4,1,3,8,0,Regular Customers
12849,31,2,992.65,4,2,4,10,0,Regular Customers
12851,96,1,131.81,2,1,1,4,0,Regular Customers
12852,294,1,311.55,1,1,2,4,1,At-Risk / Inactive
12853,134,6,1957.1000000000001,2,5,4,11,0,Regular Customers
12854,78,3,1316.25,2,3,4,9,0,Regular Customers
12855,372,1,38.1,1,1,1,3,1,At-Risk / Inactive
12856,7,6,2170.78,5,5,5,15,0,Regular Customers
12857,210,2,1106.4,1,2,4,7,1,At-Risk / Inactive
12863,52,1,521.2,3,1,3,7,0,Regular Customers
12864,138,1,147.12,2,1,1,4,0,Regular Customers
12865,26,2,1568.23,4,2,4,10,0,Regular Customers
12866,283,1,499.12,1,1,3,5,1,At-Risk / Inactive
12867,26,7,4009.34,4,5,5,14,0,Regular Customers
12868,185,6,1607.0600000000002,1,5,4,10,1,At-Risk / Inactive
12871,84,2,380.64,2,2,2,6,0,Regular Customers
12872,326,2,599.97,1,2,3,6,1,At-Risk / Inactive
12873,282,1,374.0,1,1,2,4,1,At-Risk / Inactive
12875,143,2,343.2300000000001,2,2,2,6,0,Regular Customers
12876,57,2,2053.02,3,2,5,10,0,Regular Customers
12877,3,12,1535.77,5,5,4,14,0,Regular Customers
12878,236,2,854.99,1,2,3,6,1,At-Risk / Inactive
12879,44,3,573.22,3,3,3,9,0,Regular Customers
12881,275,1,298.0,1,1,2,4,1,At-Risk / Inactive
12882,9,2,1463.04,5,2,4,11,0,Regular Customers
12883,24,4,703.47,4,4,3,11,0,Regular Customers
12884,88,1,309.05,2,1,2,5,0,Regular Customers
12885,63,3,1175.22,3,3,4,10,0,Regular Customers
12886,67,2,1378.4,3,2,4,9,0,Regular Customers
12888,214,2,354.12,1,2,2,5,1,At-Risk / Inactive
12890,24,1,376.71999999999997,4,1,2,7,0,Regular Customers
12891,185,3,331.0,1,3,2,6,1,At-Risk / Inactive
12893,30,1,176.55,4,1,1,6,0,Regular Customers
12895,42,2,372.8,3,2,2,7,0,Regular Customers
12897,204,2,216.5,1,2,1,4,1,At-Risk / Inactive
12901,8,28,17654.54,5,5,5,15,3,High-Value Customers
12902,264,1,138.68,1,1,1,3,1,At-Risk / Inactive
12904,18,2,496.06,4,2,3,9,0,Regular Customers
12906,11,5,2919.81,5,4,5,14,0,Regular Customers
12908,176,2,750.0,2,2,3,7,1,At-Risk / Inactive
12909,39,5,2178.67,3,4,5,12,0,Regular Customers
12910,23,8,3075.04,4,5,5,14,0,Regular Customers
12912,2,5,1662.3,5,4,4,13,0,Regular Customers
12913,4,5,2483.63,5,4,5,14,0,Regular Customers
12915,148,2,363.65,2,2,2,6,1,At-Risk / Inactive
12916,138,4,2944.95,2,4,5,11,0,Regular Customers
12917,128,1,594.0,2,1,3,6,0,Regular Customers
12919,8,6,1335.19,5,5,4,14,0,Regular Customers
12920,17,1,162.78,4,1,1,6,0,Regular Customers
12921,9,37,16587.09,5,5,5,15,3,High-Value Customers
12922,161,1,405.38,2,1,2,5,1,At-Risk / Inactive
12923,64,1,171.57,3,1,1,5,0,Regular Customers
12924,88,4,925.75,2,4,4,10,0,Regular Customers
12925,4,2,694.05,5,2,3,10,0,Regular Customers
12928,35,5,2062.7,3,4,5,12,0,Regular Customers
12929,311,1,117.85,1,1,1,3,1,At-Risk / Inactive
12930,78,2,415.8,2,2,2,6,0,Regular Customers
12931,21,15,42055.96,4,5,5,14,3,High-Value Customers
12933,24,3,607.53,4,3,3,10,0,Regular Customers
12935,2,7,2160.7,5,5,5,15,0,Regular Customers
12936,17,4,1063.9,4,4,4,12,0,Regular Customers
12937,15,4,1504.27,4,4,4,12,0,Regular Customers
12938,25,1,114.14,4,1,1,6,0,Regular Customers
12939,64,8,11581.8,3,5,5,13,0,Regular Customers
12940,54,2,899.69,3,2,3,8,0,Regular Customers
12942,131,3,675.6,2,3,3,8,0,Regular Customers
12944,35,2,604.51,3,2,3,8,0,Regular Customers
12945,288,1,462.95,1,1,2,4,1,At-Risk / Inactive
